timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1568473200,Sep 14 2019 - 3:00pm,complete,N/A,Olympic Safi,Khouribga,N/A,0.00,0.00,1.62,0.77,1,1,2,0,0,0,"","",0,1,1,0,0,0,1,0,0,0,2,4,2,4,0,0,19,13,47,53,0.70,1.04,0.00,0,0,0,0,0,0,0,0.00,0.00,2.20,2.87,3.20,1.55,2.37,4.70,8.60,2.20,1.61,Stade El Massira (Safi)
1568480400,Sep 14 2019 - 5:00pm,complete,N/A,Moghreb Tétouan,FAR Rabat,N/A,0.00,0.00,1.92,1.50,2,0,2,0,0,0,"","",5,4,1,0,3,0,1,0,2,1,10,11,6,0,4,11,15,25,52,48,1.50,1.18,0.00,0,0,0,0,0,0,0,0.00,0.00,2.00,2.87,3.75,1.62,2.60,4.80,8.90,2.19,1.62,Stade Saniat Rmel (Tétouan)
1568487600,Sep 14 2019 - 7:00pm,complete,N/A,FUS Rabat,Ittihad Tanger,N/A,0.00,0.00,2.00,0.67,1,0,1,0,0,0,"","",3,3,2,0,0,0,2,0,0,0,7,15,3,6,4,9,18,22,55,45,1.00,1.83,0.00,0,0,0,0,0,0,0,0.00,0.00,2.50,2.62,3.20,1.62,2.87,4.80,9.50,2.32,1.67,Stade du FUS (Hay Nahda) (Rabat)
1568563200,Sep 15 2019 - 4:00pm,complete,N/A,Youssoufia Berrechid,CR Khemis Zemamra,N/A,0.00,0.00,1.92,0.83,1,2,3,0,0,0,"","",11,5,2,0,3,0,1,1,2,1,3,4,2,3,1,1,17,7,63,37,0.90,0.79,0.00,0,0,0,0,0,0,0,0.00,0.00,2.00,2.75,4.00,1.53,2.70,5.50,13.00,2.25,1.57,Stade Municipal de Berrechid (Berrechid)
1568574000,Sep 15 2019 - 7:00pm,complete,N/A,Rapide Oued Zem,Mouloudia Oujda,N/A,0.00,0.00,1.50,1.17,0,0,0,0,0,0,"","",3,7,2,0,4,1,0,2,2,3,0,4,0,2,0,2,10,14,55,45,0.55,0.88,0.00,0,0,0,0,0,0,0,0.00,0.00,2.15,2.60,3.80,1.53,2.70,5.50,13.00,2.20,1.62,Stade Municipal (Oued Zem)
1569078000,Sep 21 2019 - 3:00pm,complete,N/A,Mouloudia Oujda,FUS Rabat,N/A,0.00,0.00,2.08,1.23,2,1,3,0,0,0,"","",3,3,2,0,1,0,0,2,0,1,4,4,4,4,0,0,12,11,53,47,1.03,1.03,0.00,0,0,0,0,0,0,0,0.00,0.00,2.38,2.70,3.10,1.53,2.70,5.50,13.00,2.20,1.62,Stade d'Honneur d'Oujda (Oujda)
1569164400,Sep 22 2019 - 3:00pm,complete,N/A,Raja Beni Mellal,Moghreb Tétouan,N/A,0.00,0.00,1.00,0.77,0,2,2,0,0,0,"","",5,1,0,0,0,0,0,0,0,0,19,5,4,4,15,1,21,21,56,44,2.09,0.90,0.00,0,0,0,0,0,0,0,0.00,0.00,2.25,2.90,3.10,1.50,2.50,5.00,11.00,2.10,1.66,Stade Municipal (Oued Zem)
1569171600,Sep 22 2019 - 5:00pm,complete,N/A,Khouribga,Hassania Agadir,N/A,0.00,0.00,1.17,0.83,0,0,0,0,0,0,"","",7,4,2,0,1,0,1,1,0,1,7,5,3,3,4,2,14,16,48,52,1.15,1.04,0.00,0,0,0,0,0,0,0,0.00,0.00,2.30,2.80,3.10,1.44,2.42,4.50,11.00,2.00,1.72,Stade du Phosphate (Khouribga)
1569178800,Sep 22 2019 - 7:00pm,complete,N/A,Ittihad Tanger,Difaâ El Jadida,N/A,0.00,0.00,1.30,1.08,0,0,0,0,0,0,"","",10,1,1,0,1,0,1,0,0,1,6,9,3,4,3,5,23,7,46,54,1.24,1.29,0.00,0,0,0,0,0,0,0,0.00,0.00,2.00,2.90,3.75,1.53,2.67,5.50,13.00,2.25,1.57,Grand Stade de Tanger (Tanger)
1569603600,Sep 27 2019 - 5:00pm,complete,N/A,Difaâ El Jadida,Mouloudia Oujda,Rédouane Jiyed,0.00,1.00,1.69,1.17,0,0,0,0,0,0,"","",5,7,2,0,3,1,1,1,2,2,3,2,2,0,1,2,13,14,53,47,0.87,0.43,0.00,0,0,0,0,0,0,0,7.00,5.00,1.60,3.30,6.00,1.40,2.25,4.33,10.00,2.10,1.67,Stade Ben Ahmed El Abdi (El Jadida (Mazghan))
1569769200,Sep 29 2019 - 3:00pm,complete,N/A,Rapide Oued Zem,Khouribga,N/A,1.00,1.00,1.50,0.77,0,1,1,0,0,0,"","",6,4,0,0,0,0,0,0,0,0,0,2,0,2,0,0,10,9,56,44,0.58,0.62,1.00,50,50,0,0,0,0,0,4.00,2.00,2.26,2.74,3.67,1.61,3.10,6.50,17.00,2.37,1.53,Stade Municipal (Oued Zem)
1569776400,Sep 29 2019 - 5:00pm,complete,N/A,Moghreb Tétouan,CR Khemis Zemamra,N/A,3.00,3.00,1.92,0.83,1,0,1,0,0,0,"","",8,2,1,0,0,0,0,1,0,0,4,0,4,0,0,0,5,5,53,47,1.08,0.50,2.50,50,100,50,0,0,0,0,10.00,4.00,2.15,2.92,3.65,1.53,2.70,5.50,13.00,2.20,1.62,Stade Saniat Rmel (Tétouan)
1570042800,Oct 2 2019 - 7:00pm,complete,N/A,FUS Rabat,RSB Berkane,Noureddine El Jaafari,3.00,0.00,2.00,1.70,1,1,2,0,0,0,"","",2,5,4,1,3,1,2,3,0,4,2,3,2,3,0,0,15,14,41,59,0.61,0.91,0.50,0,0,0,0,0,0,0,3.00,2.00,2.20,2.70,3.70,1.57,2.75,5.50,10.50,2.25,1.54,Stade du FUS (Hay Nahda) (Rabat)
1570370400,Oct 6 2019 - 2:00pm,complete,N/A,FAR Rabat,Olympic Safi,N/A,0.00,0.00,1.43,0.92,0,0,0,0,0,0,"","",3,4,0,0,0,0,0,0,0,0,13,11,4,6,9,5,21,22,61,39,1.68,1.55,0.00,0,0,0,0,0,0,0,0.00,0.00,2.75,2.70,2.75,1.50,2.60,5.00,13.00,2.10,1.66,Stade Municipal de Kénitra (Kénitra)
1570377600,Oct 6 2019 - 4:00pm,complete,N/A,Hassania Agadir,RSB Berkane,N/A,0.00,1.00,1.50,1.70,0,1,1,0,0,0,"","",4,6,2,1,2,1,0,3,1,2,13,4,2,3,11,1,8,13,53,47,1.51,0.84,1.00,50,50,0,0,0,0,0,5.00,4.00,2.30,2.80,3.25,1.48,2.50,4.80,9.25,2.10,1.65,Stade d'Agadir (Agadir)
1570384800,Oct 6 2019 - 6:00pm,complete,N/A,Difaâ El Jadida,Wydad Casablanca,N/A,1.00,0.00,1.69,1.55,0,1,1,0,0,0,"","",5,2,0,0,0,0,0,0,0,0,6,8,2,4,4,4,10,9,58,42,1.02,1.10,0.00,0,0,0,0,0,0,0,5.00,2.00,3.30,2.75,2.30,1.54,2.65,5.30,10.25,2.20,1.57,Stade Ben Ahmed El Abdi (El Jadida (Mazghan))
