team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90
Ittihad Riadhi de Tanger,Ittihad Tanger,2016/2017,Morocco,30,15,15,0,12,7,5,9,4,5,9,4,5,1.5,1.67,1.33,5,9,4,5,33,25,8,58,28,30,17,16,11,14,6,2,82,80,84,108,123,97,13,6,7,12,6,6,11,6,5,11,5,6,135,74,61,20,7,13,41,43,39,260,140,120,99,58,41,161,82,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,15,15,0,0,0,1,1,1,1.93,1.87,2,1.1,1.13,1.07,0.83,0.73,0.93,0,0,0,0,0,0,0,0,0,24,15,11,5,3,0,12,7,5,2,2,0,12,8,6,3,1,0,6,15,19,25,27,30,3,8,10,13,13,15,3,7,9,12,14,15,80,50,37,17,10,0,80,47,33,13,13,0,80,53,40,20,7,0,20,50,63,83,90,100,20,53,67,87,87,100,20,47,60,80,93,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,47,33,8,43,40,47,40,40,40,37,40,33,37,33,40,30,15,15,100,100,100,30,15,15,100,100,100,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,5.00,5.29,4.69,0.67,0.47,0.87,81,63,48,41,26,11,7,0,100,2,1,0,1,3,1,0,1,2,0,0,1,3,1,0,2,0,1
Wydad Athletic Club,Wydad Casablanca,2016/2017,Morocco,30,15,15,0,19,9,10,9,4,5,2,2,0,2.2,2.07,2.33,1,4,1,1,50,24,26,74,39,35,25,25,14,10,11,15,54,54,54,113,97,134,12,5,7,18,10,8,2,0,2,14,6,8,129,73,56,22,7,15,39,47,31,257,141,116,121,60,61,136,81,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,15,15,0,0,0,1,1,1,2.47,2.6,2.33,1.67,1.67,1.67,0.8,0.93,0.67,0,0,0,0,0,0,0,0,0,28,21,13,7,5,0,15,11,7,4,2,0,13,10,6,3,3,0,2,9,17,23,25,30,0,4,8,11,13,15,2,5,9,12,12,15,93,70,43,23,17,0,100,73,47,27,13,0,87,67,40,20,20,0,7,30,57,77,83,100,0,27,53,73,87,100,13,33,60,80,80,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,60,67,-8,40,33,47,60,67,53,7,0,13,47,40,53,30,15,15,100,100,100,30,15,15,100,100,100,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,4.30,4.87,3.73,0.73,0.47,1.00,80,53,33,27,23,17,0,0,127,1,2,1,1,4,4,3,3,1,2,2,0,0,4,0,0,2,2
Hassania Union Sport d'Agadir,Hassania Agadir,2016/2017,Morocco,30,15,15,0,10,8,2,8,4,4,12,3,9,1.27,1.87,0.67,8,6,11,8,32,40,-8,72,43,29,23,9,20,20,3,-11,84,59,150,68,68,68,4,2,2,17,11,6,10,2,8,5,4,1,115,46,69,30,9,21,43,42,44,267,133,134,110,60,50,157,73,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,15,15,0,0,0,1,1,1,2.4,2.87,1.93,1.07,1.53,0.6,1.33,1.33,1.33,0,0,0,0,0,0,0,0,0,29,21,14,6,2,0,15,12,9,5,2,0,14,9,5,1,0,0,1,9,16,24,28,30,0,3,6,10,13,15,1,6,10,14,15,15,97,70,47,20,7,0,100,80,60,33,13,0,93,60,33,7,0,0,3,30,53,80,93,100,0,20,40,67,87,100,7,40,67,93,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,53,13,0,13,13,13,57,73,40,33,13,53,17,27,7,30,15,15,100,100,100,30,15,15,100,100,100,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,4.60,4.18,4.93,1,0.6,1.40,76,52,48,36,20,12,12,8,103,0,0,1,0,3,4,3,2,2,0,1,2,2,4,2,2,2,4
AS Forces Armées Royales de Rabat,FAR Rabat,2016/2017,Morocco,30,15,15,0,11,7,4,11,4,7,8,4,4,1.47,1.67,1.27,6,10,6,6,42,39,3,81,47,34,25,17,22,17,3,0,64,54,80,69,61,80,7,4,3,21,9,12,5,3,2,11,7,4,105,54,51,16,10,6,40,40,40,270,147,123,115,65,50,155,82,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,15,15,0,0,0,1,1,1,2.7,3.13,2.27,1.4,1.67,1.13,1.3,1.47,1.13,0,0,0,0,0,0,0,0,0,27,25,16,7,4,2,14,12,9,6,4,2,13,13,7,1,0,0,3,5,14,23,26,28,1,3,6,9,11,13,2,2,8,14,15,15,90,83,53,23,13,7,93,80,60,40,27,13,87,87,47,7,0,0,10,17,47,77,87,93,7,20,40,60,73,87,13,13,53,93,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,47,27,3,23,27,20,70,60,80,17,20,13,37,47,27,30,15,15,100,100,100,30,15,15,100,100,100,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,3.62,3.60,3.64,0.53,0.67,0.40,62,45,24,21,21,14,14,7,133,0,0,1,4,4,4,4,2,3,3,1,1,2,0,1,1,5,7
Olympique Club de Khouribga,Khouribga,2016/2017,Morocco,30,15,15,0,10,6,4,4,4,0,16,5,11,1.13,1.47,0.8,11,14,8,11,34,40,-6,74,36,38,20,14,16,24,4,-10,80,68,97,68,84,56,6,5,1,13,7,6,13,5,8,5,3,2,119,80,39,12,0,12,44,46,42,297,160,137,113,62,51,184,98,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,15,15,0,0,0,1,1,1,2.47,2.4,2.53,1.13,1.33,0.93,1.33,1.07,1.6,0,0,0,0,0,0,0,0,0,28,17,14,9,5,1,13,9,7,5,2,0,15,8,7,4,3,1,2,13,16,21,25,29,2,6,8,10,13,15,0,7,8,11,12,14,93,57,47,30,17,3,87,60,47,33,13,0,100,53,47,27,20,7,7,43,53,70,83,97,13,40,53,67,87,100,0,47,53,73,80,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,40,27,19,20,33,7,43,47,40,43,33,53,17,20,13,30,15,15,100,100,100,30,15,15,100,100,100,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,3.97,5.33,2.60,0.4,0,0.80,67,63,50,33,17,13,10,7,140,0,1,0,1,1,0,2,1,0,0,1,0,2,2,0,0,2,4
Olympique Club de Safi,Olympic Safi,2016/2017,Morocco,30,15,15,0,10,8,2,6,3,3,14,4,10,1.2,1.8,0.6,9,7,12,9,25,32,-7,57,28,29,16,9,12,20,4,-11,108,84,150,84,113,68,8,6,2,13,8,5,11,2,9,9,7,2,103,65,38,35,11,24,40,47,33,250,155,95,85,51,34,165,104,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,15,15,0,0,0,1,1,1,1.9,1.87,1.93,0.83,1.07,0.6,1.07,0.8,1.33,0,0,0,0,0,0,0,0,0,28,15,10,3,1,0,14,8,6,0,0,0,14,7,4,3,1,0,2,15,20,27,29,30,1,7,9,15,15,15,1,8,11,12,14,15,93,50,33,10,3,0,93,53,40,0,0,0,93,47,27,20,7,0,7,50,67,90,97,100,7,47,60,100,100,100,7,53,73,80,93,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,53,13,27,27,40,13,43,53,33,37,13,60,30,47,13,30,15,15,100,100,100,30,15,15,100,100,100,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,3.68,4.64,2.71,1.17,0.73,1.60,61,54,36,32,25,7,7,7,87,1,0,0,1,0,2,0,1,4,0,0,1,1,4,0,1,2,3
Chabab Atlas Khénifra,Chabab Atlas Khénifra,2016/2017,Morocco,30,15,15,0,7,6,1,13,8,5,10,1,9,1.13,1.73,0.53,10,8,13,10,26,25,1,51,27,24,19,7,8,17,11,-10,103,71,191,108,170,80,13,10,3,11,5,6,13,5,8,8,7,1,114,61,53,14,4,10,34,43,27,303,167,136,126,76,50,177,91,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,15,15,0,0,0,1,1,1,1.7,1.8,1.6,0.87,1.27,0.47,0.83,0.53,1.13,0,0,0,0,0,0,0,0,0,23,15,9,4,0,0,10,8,6,3,0,0,13,7,3,1,0,0,7,15,21,26,30,30,5,7,9,12,15,15,2,8,12,14,15,15,77,50,30,13,0,0,67,53,40,20,0,0,87,47,20,7,0,0,23,50,70,87,100,100,33,47,60,80,100,100,13,53,80,93,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,40,7,41,43,67,20,37,33,40,43,33,53,27,47,7,30,15,15,100,100,100,30,15,15,100,100,100,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,4.07,4.69,3.53,0.47,0.27,0.67,64,54,32,18,11,7,0,0,73,0,2,3,0,4,0,0,1,4,0,1,1,0,4,2,0,0,0
Raja Club Athletic de Casablanca,Raja Casablanca,2016/2017,Morocco,30,15,15,0,15,10,5,12,3,9,3,2,1,1.9,2.2,1.6,3,2,2,3,42,17,25,59,33,26,26,16,7,10,19,6,64,52,84,158,191,134,15,8,7,12,5,7,8,3,5,13,9,4,151,72,79,19,5,14,48,48,48,325,172,153,123,68,55,202,104,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,15,15,0,0,0,1,1,1,1.97,2.2,1.73,1.4,1.73,1.07,0.57,0.47,0.67,0,0,0,0,0,0,0,0,0,25,18,10,5,1,0,14,9,6,3,1,0,11,9,4,2,0,0,5,12,20,25,29,30,1,6,9,12,14,15,4,6,11,13,15,15,83,60,33,17,3,0,93,60,40,20,7,0,73,60,27,13,0,0,17,40,67,83,97,100,7,40,60,80,93,100,27,40,73,87,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,67,33,21,50,53,47,40,33,47,27,20,33,43,60,27,30,15,15,100,100,100,30,15,15,100,100,100,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,5.03,4.80,5.27,0.63,0.33,0.93,73,60,56,33,23,20,7,0,50,0,1,2,3,5,3,3,5,8,1,0,1,4,1,0,3,0,2
Kawkab Athlétique Club de Marrakech,Kawkab Marrakech,2016/2017,Morocco,30,15,15,0,9,4,5,6,5,1,15,6,9,1.1,1.13,1.07,13,16,7,13,36,42,-6,78,34,44,16,20,18,24,-2,-4,75,84,68,64,75,56,6,4,2,18,10,8,8,3,5,7,3,4,99,49,50,19,3,16,41,40,41,268,131,137,106,55,51,162,76,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,15,15,0,0,0,1,1,1,2.6,2.27,2.93,1.2,1.07,1.33,1.4,1.2,1.6,0,0,0,0,0,0,0,0,0,28,22,18,6,4,0,13,10,8,2,1,0,15,12,10,4,3,0,2,8,12,24,26,30,2,5,7,13,14,15,0,3,5,11,12,15,93,73,60,20,13,0,87,67,53,13,7,0,100,80,67,27,20,0,7,27,40,80,87,100,13,33,47,87,93,100,0,20,33,73,80,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,27,33,2,20,27,13,60,67,53,27,20,33,23,20,27,30,15,15,100,100,100,30,15,15,100,100,100,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,3.41,3.50,3.33,0.63,0.2,1.07,79,72,62,48,31,24,21,10,120,1,2,0,0,2,2,0,3,4,3,1,2,3,3,1,4,5,2
Difaâ Hassani d'El Jadida,Difaâ El Jadida,2016/2017,Morocco,30,15,15,0,16,10,6,11,5,6,3,0,3,1.97,2.33,1.6,2,1,3,2,45,23,22,68,33,35,27,18,6,17,21,1,60,50,75,117,225,80,15,9,6,14,6,8,8,4,4,11,7,4,139,76,63,19,7,12,44,49,39,325,190,135,119,67,52,206,123,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,15,15,0,0,0,1,1,1,2.27,2.2,2.33,1.5,1.8,1.2,0.77,0.4,1.13,0,0,0,0,0,0,0,0,0,23,17,13,7,5,2,11,8,7,3,2,1,12,9,6,4,3,1,7,13,17,23,25,28,4,7,8,12,13,14,3,6,9,11,12,14,77,57,43,23,17,7,73,53,47,20,13,7,80,60,40,27,20,7,23,43,57,77,83,93,27,47,53,80,87,93,20,40,60,73,80,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,67,40,34,50,60,40,47,40,53,27,27,27,37,47,27,30,15,15,100,100,100,30,15,15,100,100,100,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,4.96,5.07,4.85,0.63,0.47,0.80,71,64,50,39,28,7,0,0,120,1,2,1,0,1,1,1,1,6,0,1,0,2,0,1,2,1,2
